In an Oct. 19 review of "The Misanthrope" at Chicago's Goodman Theatre ("Revitalized Classics Take the Stage in Windy City," Leisure & Arts), the role of Celimene, played by Kim Cattrall, was mistakenly attributed to Christina Haag	Ms. Haag plays Elianti	Contrast
BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share	The new rate will be payable Feb. 15	Conjunction
The new rate will be payable Feb. 15	A record date hasn't been set	Contrast
Solo woodwind players have to be creative if they want to work a lot, because their repertoire and audience appeal are limited	The oboist Heinz Holliger has taken a hard line about the problem: He commissions and splendidly interprets fearsome contemporary scores and does some conducting, so he doesn't have to play the same Mozart and Strauss concertos over and over again	Instantiation
Richard Stoltzman has taken a gentler, more audience-friendly approach	Years ago, he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi, which won audiences over to dreaded contemporary scores like Messiaen's "Quartet for the End of Time	Restatement
and now goes on the road with piano, bass, a slide show, and a repertoire that ranges from light classical to light jazz to light pop, with a few notable exceptions	Just the thing for the Vivaldi-at-brunch set, the yuppie audience that has embraced New Age as its very own easy listening	Restatement
But you can't dismiss Mr. Stoltzman's music or his motives as merely commercial and lightweight	He believes in what he plays, and he plays superbly	Restatement
He believes in what he plays, and he plays superbly	His recent appearance at the Metropolitan Museum, dubbed "A Musical Odyssey," was a case in point	Instantiation
His recent appearance at the Metropolitan Museum, dubbed "A Musical Odyssey," was a case in point	It felt more like a party, or a highly polished jam session with a few friends, than a classical concert	Restatement
Clad in his trademark black velvet suit, the soft-spoken clarinetist announced that his new album, "Inner Voices," had just been released, that his family was in the front row, and that it was his mother's birthday, so he was going to play her favorite tune from the record	He launched into Saint-Saens's "The Swan" from "Carnival of the Animals," a favorite encore piece for cellists, with lovely, glossy tone and no bite	Asynchronous
And so it went through the first half: an ingeniously chosen potpourri of pieces, none longer than five minutes, none that would disturb or challenge a listener	Mr. Stoltzman introduced his colleagues: Bill Douglas, pianist/bassoonist/composer and an old buddy from Yale, and jazz bassist Eddie Gomez	Conjunction
Mr. Stoltzman introduced his colleagues: Bill Douglas, pianist/bassoonist/composer and an old buddy from Yale, and jazz bassist Eddie Gomez	An improvisational section was built around pieces by Mr. Douglas, beginning with "Golden Rain," a lilting, laid-back lead in to the uptempo "Sky," which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers	Asynchronous
An improvisational section was built around pieces by Mr. Douglas, beginning with "Golden Rain," a lilting, laid-back lead in to the uptempo "Sky," which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers	Bach's "Air" followed	Asynchronous
Bach's "Air" followed	Mr. Stoltzman tied the composer in by proclaiming him "the great improviser of the 18th century	Asynchronous
